Order_ID,Order_Date,Delivery_Date,Customer_Type,Delivery_Type,Area,Distance_KM,Cylinders,Delivery_Days,Status,,calculated kms
5076,14/03/2024,17/03/2024,Domestic,Home,Area A,20,1,3,Delayed,,16
5077,22/06/2024,26/06/2024,Domestic,Home,Area D,45,1,4,Delayed,,36
5078,05/05/2024,05/05/2024,Domestic,Walk-in,Nearby Area 1,9,1,0,On-Time,,10
5079,28/03/2024,01/04/2024,Domestic,Home,Area B,23,1,4,Delayed,,25
5080,23/05/2024,29/05/2024,Domestic,Home,Area F,59,1,6,Delayed,,58
5081,01/04/2024,03/04/2024,5kg,Home,Area C,31,1,2,On-Time,,33
5082,14/03/2024,15/03/2024,Domestic,Home,Area C,34,1,1,On-Time,,28
5083,08/02/2024,10/02/2024,5kg,Home,Area D,36,1,2,On-Time,,39
5084,25/06/2024,29/06/2024,Domestic,Home,Area F,59,1,4,Delayed,,58
5085,05/03/2024,07/03/2024,Domestic,Home,Area F,59,1,2,On-Time,,59
5086,09/03/2024,16/03/2024,Domestic,Home,Area C,27,1,7,Delayed,,35
5087,21/02/2024,23/02/2024,Domestic,Home,Area B,23,1,2,On-Time,,23
5088,10/03/2024,12/03/2024,Domestic,Home,Area E,50,1,2,On-Time,,55
5089,02/04/2024,09/04/2024,Domestic,Home,Area A,20,1,7,Delayed,,19
5090,27/05/2024,29/05/2024,Domestic,Home,Area C,26,1,2,On-Time,,35
5091,26/01/2024,29/01/2024,Commercial,Home,Area C,28,5,3,Delayed,,28
5092,22/03/2024,25/03/2024,Domestic,Home,Area B,24,1,3,Delayed,,22
5093,10/03/2024,15/03/2024,Domestic,Home,Area D,36,1,5,Delayed,,42
5094,29/04/2024,04/05/2024,Domestic,Home,Area F,56,1,5,Delayed,,57
5095,21/02/2024,27/02/2024,Domestic,Home,Area B,21,1,6,Delayed,,24
5096,26/01/2024,01/02/2024,Domestic,Home,Area A,18,1,6,Delayed,,20
5097,10/06/2024,14/06/2024,Commercial,Home,Area F,58,5,4,Delayed,,57
5098,02/04/2024,04/04/2024,Commercial,Home,Area D,36,6,2,On-Time,,37
5099,08/03/2024,11/03/2024,Domestic,Home,Area B,25,1,3,Delayed,,21
5100,08/04/2024,15/04/2024,Domestic,Home,Area E,52,1,7,Delayed,,54
5101,04/05/2024,11/05/2024,Domestic,Home,Area F,57,1,7,Delayed,,60
5102,05/01/2024,10/01/2024,Domestic,Home,Area E,54,1,5,Delayed,,55
5103,12/01/2024,15/01/2024,Domestic,Home,Area C,27,1,3,Delayed,,26
5104,23/06/2024,28/06/2024,Domestic,Home,Area C,27,1,5,Delayed,,28
5105,01/04/2024,01/04/2024,Commercial,Walk-in,Nearby Area 1,10,2,0,On-Time,,7
5106,29/01/2024,09/02/2024,Domestic,Home,Area E,46,1,11,Delayed,,50
5107,22/05/2024,24/05/2024,Domestic,Home,Area D,43,1,2,On-Time,,39
5108,13/05/2024,13/05/2024,Domestic,Walk-in,Nearby Area 1,6,1,0,On-Time,,7
5109,17/02/2024,20/02/2024,Domestic,Home,Area E,52,1,3,Delayed,,49
5110,28/03/2024,28/03/2024,Commercial,Walk-in,Agency Area,4,5,0,On-Time,,4
5111,31/05/2024,04/06/2024,Domestic,Home,Area B,21,1,4,Delayed,,21
5112,23/02/2024,28/02/2024,Domestic,Home,Area A,16,1,5,Delayed,,16
5113,04/02/2024,11/02/2024,Domestic,Home,Area F,58,1,7,Delayed,,57
5114,15/04/2024,15/04/2024,Domestic,Walk-in,Nearby Area 1,10,1,0,On-Time,,6
5115,12/01/2024,13/01/2024,Domestic,Home,Area F,57,1,1,On-Time,,59
5116,06/05/2024,10/05/2024,Domestic,Home,Area F,60,1,4,Delayed,,58
5117,27/05/2024,29/05/2024,Domestic,Home,Area B,25,1,2,On-Time,,23
5118,10/04/2024,10/04/2024,Commercial,Walk-in,Nearby Area 1,10,4,0,On-Time,,9
5119,20/03/2024,20/03/2024,Domestic,Walk-in,Agency Area,2,1,0,On-Time,,1
5120,06/03/2024,09/03/2024,Commercial,Home,Area F,57,4,3,Delayed,,57
5121,29/02/2024,04/03/2024,Domestic,Home,Area A,16,1,4,Delayed,,20
5122,19/03/2024,23/03/2024,Commercial,Home,Area C,27,4,4,Delayed,,29
5123,26/06/2024,01/07/2024,Domestic,Home,Area F,56,1,5,Delayed,,60
5124,22/03/2024,27/03/2024,Domestic,Home,Area A,17,1,5,Delayed,,16
5125,21/06/2024,23/06/2024,Domestic,Home,Area B,23,1,2,On-Time,,24
5126,08/01/2024,13/01/2024,Commercial,Home,Area D,37,2,5,Delayed,,39
5127,14/03/2024,19/03/2024,Domestic,Home,Area F,58,1,5,Delayed,,56
5128,30/04/2024,30/04/2024,Domestic,Walk-in,Nearby Area 1,6,1,0,On-Time,,8
5129,11/03/2024,22/03/2024,Domestic,Home,Area B,24,1,11,Delayed,,25
5130,02/01/2024,07/01/2024,Domestic,Home,Area C,31,1,5,Delayed,,35
5131,29/02/2024,11/03/2024,Domestic,Home,Area C,35,1,11,Delayed,,35
5132,28/04/2024,01/05/2024,Domestic,Home,Area A,20,1,3,Delayed,,16
5133,29/04/2024,03/05/2024,Domestic,Home,Area D,45,1,4,Delayed,,40
5134,05/02/2024,09/02/2024,Commercial,Home,Area C,29,2,4,Delayed,,26
5135,10/02/2024,10/02/2024,Commercial,Walk-in,Agency Area,4,5,0,On-Time,,2
5136,04/01/2024,04/01/2024,Domestic,Walk-in,Nearby Area 2,11,1,0,On-Time,,12
5137,20/01/2024,22/01/2024,Domestic,Home,Area C,34,1,2,On-Time,,35
5138,26/06/2024,28/06/2024,Domestic,Home,Area E,52,1,2,On-Time,,50
5139,16/01/2024,17/01/2024,Domestic,Home,Area F,58,1,1,On-Time,,56
5140,03/01/2024,03/01/2024,Domestic,Walk-in,Nearby Area 2,11,1,0,On-Time,,11
5141,17/06/2024,17/06/2024,Domestic,Walk-in,Nearby Area 1,7,1,0,On-Time,,10
5142,07/01/2024,09/01/2024,Commercial,Home,Area A,19,4,2,On-Time,,16
5143,13/02/2024,17/02/2024,Domestic,Home,Area A,16,1,4,Delayed,,18
5144,22/05/2024,26/05/2024,Commercial,Home,Area B,24,6,4,Delayed,,23
5145,04/01/2024,07/01/2024,Commercial,Home,Area F,60,5,3,Delayed,,60
5146,06/04/2024,06/04/2024,Commercial,Walk-in,Nearby Area 2,14,2,0,On-Time,,13
5147,20/04/2024,23/04/2024,Domestic,Home,Area A,17,1,3,Delayed,,19
5148,26/06/2024,29/06/2024,5kg,Home,Area D,41,1,3,Delayed,,43
5149,04/01/2024,04/01/2024,Domestic,Walk-in,Nearby Area 1,6,1,0,On-Time,,8
5150,12/03/2024,12/03/2024,Domestic,Walk-in,Agency Area,1,1,0,On-Time,,1
5151,21/04/2024,23/04/2024,Commercial,Home,Area D,38,6,2,On-Time,,40
5152,15/04/2024,18/04/2024,Domestic,Home,Area B,23,1,3,Delayed,,21
5153,26/01/2024,30/01/2024,Domestic,Home,Area A,18,1,4,Delayed,,18
5154,22/02/2024,26/02/2024,Domestic,Home,Area A,18,1,4,Delayed,,20
5155,18/03/2024,23/03/2024,Domestic,Home,Area E,55,1,5,Delayed,,47
5156,16/05/2024,18/05/2024,Commercial,Home,Area D,40,6,2,On-Time,,37
5157,11/05/2024,15/05/2024,Commercial,Home,Area C,30,4,4,Delayed,,35
5158,24/04/2024,01/05/2024,Domestic,Home,Area F,60,1,7,Delayed,,56
5159,08/04/2024,15/04/2024,Commercial,Home,Area D,43,6,7,Delayed,,43
5160,12/01/2024,12/01/2024,Domestic,Walk-in,Nearby Area 1,7,1,0,On-Time,,6
5161,07/02/2024,11/02/2024,Domestic,Home,Area E,55,1,4,Delayed,,50
5162,13/05/2024,18/05/2024,Domestic,Home,Area C,29,1,5,Delayed,,35
5163,07/06/2024,11/06/2024,Domestic,Home,Area D,42,1,4,Delayed,,43
5164,25/06/2024,25/06/2024,Domestic,Walk-in,Agency Area,1,1,0,On-Time,,2
5165,01/05/2024,14/05/2024,Domestic,Home,Area F,57,1,13,Delayed,,60
5166,22/03/2024,22/03/2024,Domestic,Walk-in,Nearby Area 2,13,1,0,On-Time,,11
5167,17/05/2024,19/05/2024,Domestic,Home,Area D,41,1,2,On-Time,,45
5168,21/05/2024,21/05/2024,Commercial,Walk-in,Nearby Area 1,9,3,0,On-Time,,7
5169,15/06/2024,17/06/2024,Domestic,Home,Area A,19,1,2,On-Time,,20
5170,15/02/2024,17/02/2024,Domestic,Home,Area E,53,1,2,On-Time,,47
5171,26/01/2024,28/01/2024,Domestic,Home,Area D,40,1,2,On-Time,,39
5172,23/06/2024,25/06/2024,Domestic,Home,Area C,27,1,2,On-Time,,27
5173,15/06/2024,19/06/2024,Domestic,Home,Area A,17,1,4,Delayed,,20
5174,09/02/2024,09/02/2024,Domestic,Walk-in,Nearby Area 1,8,1,0,On-Time,,10
5175,27/04/2024,04/05/2024,Domestic,Home,Area D,37,1,7,Delayed,,41
5176,19/02/2024,21/02/2024,Domestic,Home,Area F,59,1,2,On-Time,,57
5177,30/05/2024,31/05/2024,Domestic,Home,Area C,29,1,1,On-Time,,35
5178,23/06/2024,29/06/2024,Domestic,Home,Area A,17,1,6,Delayed,,16
5179,06/05/2024,06/05/2024,Domestic,Walk-in,Agency Area,3,1,0,On-Time,,3
5180,12/02/2024,16/02/2024,Domestic,Home,Area F,59,1,4,Delayed,,58
5181,20/02/2024,23/02/2024,Domestic,Home,Area F,58,1,3,Delayed,,59
5182,24/05/2024,31/05/2024,Commercial,Home,Area C,27,4,7,Delayed,,29
5183,06/02/2024,09/02/2024,Domestic,Home,Area B,25,1,3,Delayed,,24
5184,17/02/2024,21/02/2024,Domestic,Home,Area F,60,1,4,Delayed,,59
5185,30/05/2024,06/06/2024,Domestic,Home,Area C,33,1,7,Delayed,,28
5186,28/02/2024,28/02/2024,Commercial,Walk-in,Nearby Area 1,9,4,0,On-Time,,7
5187,12/06/2024,16/06/2024,Domestic,Home,Area E,53,1,4,Delayed,,47
5188,27/03/2024,29/03/2024,Domestic,Home,Area A,20,1,2,On-Time,,18
5189,06/04/2024,06/04/2024,Domestic,Walk-in,Nearby Area 1,10,1,0,On-Time,,6
5190,11/03/2024,13/03/2024,Domestic,Home,Area F,59,1,2,On-Time,,58
5191,15/04/2024,20/04/2024,Domestic,Home,Area F,58,1,5,Delayed,,57
5192,22/04/2024,27/04/2024,Commercial,Home,Area D,43,5,5,Delayed,,44
5193,03/04/2024,08/04/2024,Domestic,Home,Area D,42,1,5,Delayed,,37
5194,21/06/2024,23/06/2024,Domestic,Home,Area E,47,1,2,On-Time,,50
5195,07/05/2024,09/05/2024,Domestic,Home,Area A,16,1,2,On-Time,,17
5196,30/05/2024,06/06/2024,Domestic,Home,Area A,18,1,7,Delayed,,20
5197,04/06/2024,04/06/2024,Domestic,Walk-in,Nearby Area 1,9,1,0,On-Time,,10
5198,14/01/2024,17/01/2024,Domestic,Home,Area B,24,1,3,Delayed,,24
5199,16/06/2024,18/06/2024,Domestic,Home,Area B,24,1,2,On-Time,,22
5200,20/03/2024,21/03/2024,Domestic,Home,Area F,57,1,1,On-Time,,60
5201,20/04/2024,25/04/2024,Domestic,Home,Area D,39,1,5,Delayed,,37
5202,11/03/2024,12/03/2024,Domestic,Home,Area F,60,1,1,On-Time,,60
5203,30/05/2024,04/06/2024,Commercial,Home,Area C,33,4,5,Delayed,,34
5204,13/01/2024,15/01/2024,Domestic,Home,Area F,56,1,2,On-Time,,60
5205,24/02/2024,28/02/2024,Domestic,Home,Area F,58,1,4,Delayed,,58
5206,09/05/2024,09/05/2024,Domestic,Walk-in,Nearby Area 1,8,1,0,On-Time,,6
5207,19/05/2024,19/05/2024,Commercial,Walk-in,Nearby Area 1,7,6,0,On-Time,,9
5208,15/05/2024,18/05/2024,Domestic,Home,Area D,44,1,3,Delayed,,42
5209,23/03/2024,27/03/2024,Domestic,Home,Area C,28,1,4,Delayed,,26
5210,17/01/2024,24/01/2024,Domestic,Home,Area B,22,1,7,Delayed,,22
5211,25/03/2024,25/03/2024,5kg,Walk-in,Nearby Area 1,6,1,0,On-Time,,6
5212,15/06/2024,15/06/2024,Domestic,Walk-in,Nearby Area 1,10,1,0,On-Time,,8
5213,11/02/2024,13/02/2024,Domestic,Home,Area E,46,1,2,On-Time,,46
5214,18/02/2024,18/02/2024,Domestic,Walk-in,Agency Area,4,1,0,On-Time,,3
5215,13/04/2024,16/04/2024,Commercial,Home,Area C,33,3,3,Delayed,,28
5216,30/04/2024,03/05/2024,Domestic,Home,Area E,47,1,3,Delayed,,51
5217,29/06/2024,30/06/2024,Domestic,Home,Area C,28,1,1,On-Time,,28
5218,04/05/2024,11/05/2024,Domestic,Home,Area B,24,1,7,Delayed,,22
5219,14/04/2024,17/04/2024,Commercial,Home,Area C,32,4,3,Delayed,,35
5220,29/05/2024,29/05/2024,Domestic,Walk-in,Agency Area,3,1,0,On-Time,,2
5221,08/04/2024,09/04/2024,Domestic,Home,Area D,44,1,1,On-Time,,45
5222,23/04/2024,26/04/2024,Domestic,Home,Area E,50,1,3,Delayed,,49
5223,26/05/2024,26/05/2024,Domestic,Walk-in,Nearby Area 1,6,1,0,On-Time,,10
5224,11/05/2024,12/05/2024,Domestic,Home,Area B,21,1,1,On-Time,,22
5225,02/02/2024,06/02/2024,Commercial,Home,Area D,44,4,4,Delayed,,38
5226,02/04/2024,06/04/2024,Domestic,Home,Area F,59,1,4,Delayed,,56
5227,26/04/2024,01/05/2024,Domestic,Home,Area D,39,1,5,Delayed,,38
5228,21/03/2024,23/03/2024,Commercial,Home,Area D,38,2,2,On-Time,,44
5229,10/06/2024,14/06/2024,Domestic,Home,Area B,23,1,4,Delayed,,21
5230,22/03/2024,25/03/2024,Commercial,Home,Area D,39,3,3,Delayed,,36
5231,03/03/2024,05/03/2024,Domestic,Home,Area C,27,1,2,On-Time,,34
5232,28/05/2024,30/05/2024,Domestic,Home,Area C,28,1,2,On-Time,,30
5233,01/05/2024,04/05/2024,Domestic,Home,Area B,22,1,3,Delayed,,22
5234,09/03/2024,13/03/2024,Commercial,Home,Area A,20,3,4,Delayed,,17
5235,05/05/2024,07/05/2024,Domestic,Home,Area D,38,1,2,On-Time,,42
5236,13/04/2024,15/04/2024,Domestic,Home,Area D,42,1,2,On-Time,,37
5237,25/06/2024,27/06/2024,Commercial,Home,Area B,21,4,2,On-Time,,22
5238,13/03/2024,19/03/2024,Domestic,Home,Area A,20,1,6,Delayed,,18
5239,20/02/2024,20/02/2024,Domestic,Walk-in,Nearby Area 2,14,1,0,On-Time,,12
5240,07/04/2024,11/04/2024,Domestic,Home,Area A,20,1,4,Delayed,,16
5241,05/02/2024,08/02/2024,Domestic,Home,Area B,25,1,3,Delayed,,21
5242,20/05/2024,24/05/2024,Domestic,Home,Area F,56,1,4,Delayed,,58
5243,27/02/2024,02/03/2024,Domestic,Home,Area D,36,1,4,Delayed,,37
5244,07/01/2024,09/01/2024,Domestic,Home,Area E,46,1,2,On-Time,,47
5245,13/06/2024,20/06/2024,Domestic,Home,Area B,24,1,7,Delayed,,22
5246,30/05/2024,02/06/2024,Domestic,Home,Area F,58,1,3,Delayed,,57
5247,07/06/2024,07/06/2024,Domestic,Walk-in,Nearby Area 2,15,1,0,On-Time,,15
5248,07/02/2024,14/02/2024,Domestic,Home,Area C,28,1,7,Delayed,,28
5249,01/06/2024,04/06/2024,Commercial,Home,Area F,60,2,3,Delayed,,56
5250,03/05/2024,09/05/2024,Domestic,Home,Area B,22,1,6,Delayed,,22
5251,20/02/2024,25/02/2024,Domestic,Home,Area D,41,1,5,Delayed,,39
5252,17/03/2024,18/03/2024,Domestic,Home,Area B,23,1,1,On-Time,,23
5253,16/06/2024,19/06/2024,Commercial,Home,Area C,27,2,3,Delayed,,34
5254,21/05/2024,22/05/2024,Commercial,Home,Area A,17,5,1,On-Time,,18
5255,29/04/2024,29/04/2024,Domestic,Walk-in,Nearby Area 2,13,1,0,On-Time,,14
5256,05/06/2024,06/06/2024,Domestic,Home,Area A,20,1,1,On-Time,,18
5257,27/04/2024,30/04/2024,Domestic,Home,Area E,48,1,3,Delayed,,48
5258,22/06/2024,23/06/2024,Domestic,Home,Area A,18,1,1,On-Time,,16
5259,27/02/2024,01/03/2024,Commercial,Home,Area D,40,2,3,Delayed,,45
5260,04/01/2024,11/01/2024,Domestic,Home,Area B,21,1,7,Delayed,,25
5261,14/04/2024,20/04/2024,Domestic,Home,Area B,25,1,6,Delayed,,25
5262,18/06/2024,20/06/2024,Domestic,Home,Area E,48,1,2,On-Time,,52
5263,04/05/2024,08/05/2024,Commercial,Home,Area E,54,5,4,Delayed,,48
5264,04/06/2024,07/06/2024,Domestic,Home,Area E,54,1,3,Delayed,,55
5265,05/05/2024,12/05/2024,Domestic,Home,Area A,19,1,7,Delayed,,20
5266,05/05/2024,05/05/2024,Domestic,Walk-in,Nearby Area 2,14,1,0,On-Time,,13
5267,17/04/2024,19/04/2024,Commercial,Home,Area B,24,2,2,On-Time,,24
5268,02/03/2024,02/03/2024,Commercial,Walk-in,Nearby Area 1,9,2,0,On-Time,,8
5269,21/02/2024,25/02/2024,Domestic,Home,Area C,26,1,4,Delayed,,34
5270,31/01/2024,05/02/2024,Domestic,Home,Area D,42,1,5,Delayed,,39
5271,26/04/2024,29/04/2024,Domestic,Home,Area E,50,1,3,Delayed,,54
5272,03/03/2024,09/03/2024,Domestic,Home,Area F,60,1,6,Delayed,,60
5273,23/04/2024,23/04/2024,Domestic,Walk-in,Agency Area,1,1,0,On-Time,,4
5274,20/03/2024,27/03/2024,Domestic,Home,Area E,53,1,7,Delayed,,55
5275,07/04/2024,11/04/2024,Domestic,Home,Area D,41,1,4,Delayed,,36
5276,08/01/2024,11/01/2024,Domestic,Home,Area A,17,1,3,Delayed,,17
5277,05/03/2024,18/03/2024,Domestic,Home,Area A,17,1,13,Delayed,,20
5278,11/04/2024,13/04/2024,Domestic,Home,Area D,37,1,2,On-Time,,45
5279,30/03/2024,30/03/2024,Commercial,Walk-in,Nearby Area 2,13,6,0,On-Time,,14
5280,16/04/2024,19/04/2024,Domestic,Home,Area F,57,1,3,Delayed,,56
5281,27/06/2024,03/07/2024,Commercial,Home,Area C,33,2,6,Delayed,,27
5282,08/06/2024,08/06/2024,Domestic,Walk-in,Nearby Area 1,8,1,0,On-Time,,6
5283,09/03/2024,13/03/2024,Domestic,Home,Area D,37,1,4,Delayed,,39
5284,15/02/2024,22/02/2024,Domestic,Home,Area A,18,1,7,Delayed,,20
5285,28/03/2024,29/03/2024,Commercial,Home,Area D,37,3,1,On-Time,,42
5286,25/04/2024,29/04/2024,Commercial,Home,Area E,53,5,4,Delayed,,49
5287,21/05/2024,23/05/2024,Domestic,Home,Area B,23,1,2,On-Time,,23
5288,27/02/2024,05/03/2024,Domestic,Home,Area E,51,1,7,Delayed,,46
5289,27/01/2024,29/01/2024,Domestic,Home,Area C,32,1,2,On-Time,,33
5290,12/02/2024,16/02/2024,Commercial,Home,Area B,22,2,4,Delayed,,22
5291,01/04/2024,04/04/2024,Domestic,Home,Area F,56,1,3,Delayed,,57
5292,22/05/2024,22/05/2024,Domestic,Walk-in,Agency Area,5,1,0,On-Time,,1
5293,25/02/2024,03/03/2024,Domestic,Home,Area C,29,1,7,Delayed,,26
5294,20/04/2024,20/04/2024,Domestic,Walk-in,Agency Area,4,1,0,On-Time,,3
5295,09/02/2024,13/02/2024,Domestic,Home,Area E,50,1,4,Delayed,,47
5296,01/03/2024,05/03/2024,Domestic,Home,Area A,17,1,4,Delayed,,19
5297,18/02/2024,24/02/2024,Domestic,Home,Area F,60,1,6,Delayed,,60
5298,14/01/2024,14/01/2024,Domestic,Walk-in,Nearby Area 1,8,1,0,On-Time,,7
5299,26/02/2024,28/02/2024,Domestic,Home,Area A,19,1,2,On-Time,,17
5300,19/04/2024,23/04/2024,Commercial,Home,Area F,57,6,4,Delayed,,57
5301,14/01/2024,19/01/2024,Domestic,Home,Area B,24,1,5,Delayed,,22
5302,15/05/2024,21/05/2024,Commercial,Home,Area A,19,5,6,Delayed,,19
5303,26/01/2024,01/02/2024,Commercial,Home,Area F,58,4,6,Delayed,,59
5304,21/02/2024,27/02/2024,Domestic,Home,Area C,27,1,6,Delayed,,29
5305,06/05/2024,09/05/2024,Domestic,Home,Area E,53,1,3,Delayed,,52
5306,25/01/2024,25/01/2024,Commercial,Walk-in,Nearby Area 2,12,5,0,On-Time,,15
5307,10/05/2024,17/05/2024,Domestic,Home,Area C,30,1,7,Delayed,,34
5308,29/05/2024,29/05/2024,Domestic,Walk-in,Nearby Area 1,7,1,0,On-Time,,7
5309,25/03/2024,30/03/2024,Domestic,Home,Area D,36,1,5,Delayed,,37
5310,09/06/2024,09/06/2024,Commercial,Walk-in,Nearby Area 1,8,5,0,On-Time,,9
5311,29/02/2024,08/03/2024,Domestic,Home,Area F,60,1,8,Delayed,,57
5312,06/04/2024,10/04/2024,Domestic,Home,Area E,47,1,4,Delayed,,54
5313,04/02/2024,07/02/2024,Domestic,Home,Area B,22,1,3,Delayed,,25
